"slug","category","brand","product","grade","sheet_size","thickness","known_min_per_sqft","known_max_per_sqft","RATE_PER_SQFT_HERE"
"mikasa-marine-blue-ply","Plywood","Mikasa","Marine Blue","BWP","8×4 ft (2440×1220mm)","16mm","","",""
"mikasa-marine-blue-ply","Plywood","Mikasa","Marine Blue","BWP","8×4 ft (2440×1220mm)","19mm","","",""
"mikasa-marine-blue-ply","Plywood","Mikasa","Marine Blue","BWP","8×4 ft (2440×1220mm)","25mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","4mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","6mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","8mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","12mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","16mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","18mm","","",""
"mikasa-mr-mr","Plywood","Mikasa","MR+","MR","8×4 ft (2440×1220mm)","25mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","4mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","6mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","9mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","12mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","16mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","19mm","","",""
"mikasa-sapphire-ply","Plywood","Mikasa","Sapphire","STR","8×4 ft (2440×1220mm)","25mm","","",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","4mm","65","130",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","6mm","65","130",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","9mm","65","130",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","12mm","65","130",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","16mm","65","130",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","19mm","65","130",""
"wigwam-excel-fr-fr","Plywood","Wigwam Excel","Wigwam Excel BWP FR (Fire Resistant)","FR","8×4 ft (2440×1220mm)","25mm","65","130",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","4mm","50","115",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","6mm","50","115",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","9mm","50","115",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","12mm","50","115",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","16mm","50","115",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","19mm","50","115",""
"wigwam-excel-mr-mr","Plywood","Wigwam Excel","Wigwam Excel MR","MR","8×4 ft (2440×1220mm)","25mm","50","115",""
